id,date
TRTKTPV128F145FEB8,2007-06-04
TRTKUUV128F42482B7,2003-03-18
TRTKUUV128F426822F,2000
TRTKUVS128F14768B8,2011-04-04
TRTKVFV128F92F2FC8,2011-11-23
TRTKVGF128F4269691,1974
TRTKVHD128F42A4928,1999-11-30
TRTKXMS128F425AD62,2001
TRTKXND128F933338A,2001
TRTKXNY12903CB661C,2017-10-19
TRTKXRD128F424F39A,2013-07-30
TRTKXVX128F933778A,2008-11-24
TRTKXXM128F92DAFE8,2008-08-21
TRTKYBD128F424F5D7,2001-05-15
TRTKYBO12903CFC9A9,2001-02-27
TRTKYHE128F42A10A7,2002-10-02
TRTKZRR12903CB275F,2007-09-11
TRTKZUA128F934D51A,2009-10-02
TRTKZUH12903CD9D61,2011-09-01
TRTLBWI128F4232033,2000
TRTLBYZ128F146376F,1969
TRTLBZP12903CF7271,2007
TRTLCFU128F42219CC,2005-09
TRTLCFY128F148DE7D,2005-04-28
TRTLDQG128F427E126,2007-08
TRTLDRP128F429C5AC,1969
TRTLDUH128F92CE67C,2008-09-30
TRTLDUY12903CEBA24,2013
TRTLEBO128F4250F37,2018-03-16
TRTLELX12903CB9AB7,1990-03-12
TRTLEPJ128F426DD94,2007
TRTLEUU128F4277F91,2004-06-01
TRTLEVO128F425EA4F,2009-11-24
TRTLEVV128F931F4C7,1970
TRTLFIS128F423C071,2003-02-25
TRTLFNE128F4214ABC,2003-09-01
TRTLFOW128F92EAC8F,2006-02-13
TRTLFPR128F4279551,2007
TRTLFQG128F930D3EA,2008-05-23
TRTLFTL128F4270732,2018-06-22
TRTLHHA128F9307594,1997
TRTLHIJ128F1459C92,1990-10-27
TRTLICB128F42ACB4F,1994-06
TRTLIGB128F93146A7,1992
TRTLIGI128F9343698,2002-05-17
TRTLIGT128F1455D9E,2019-11-29
TRTLIGT128F4289223,2001-03-20
TRTLIGT128F9328A5B,2004-05
TRTLIXC128F1463617,1991-07-30
TRTLIXG12903CE96CE,1994
TRTLIYZ128F42785AD,2020-04-03
TRTLKCP128F9304DA3,2007-12-19
TRTLKCT128F428B845,1990
TRTLKDD128F9310102,2017-10-27
TRTLKGY128F9341E16,1982
TRTLKHB128F14572B4,1996
TRTLKIA128F92D066C,1997
TRTLLFE128F92E36A6,2013-10-11
TRTLLMB128E0785690,2001
TRTLLMP128F9307700,2009-08-25
TRTLLXW128F424EAD2,
TRTLLZH12903CB1154,2012-01-01
TRTLNAD128F428D058,2004-10-12
TRTLNAY128E079533B,2002-06-24
TRTLNCC128F1488779,1994
TRTLNCJ128F423BBDD,1998-07-14
TRTLNCO128F933ABC2,1998
TRTLNEU128F427B008,1999
TRTLPBB128F934841C,2006
TRTLPCS12903CE84FB,2006-10
TRTLPCU128F92EA857,2020-12-11
TRTLPEA128F9308584,2005
TRTLPEZ12903CFA187,2007
TRTLPMA128F92F77B2,2009
TRTLQSZ128F147CA1F,2006
TRTLQTD128F4260BF4,2009
TRTLQUW128F428424D,2012-08-12
TRTLQWI12903CA4513,2007-04-30
TRTLQYU128F1471F99,1989-09-05
TRTLRBL128F428821F,2003-04-15
TRTLRBW128F93165B4,2009-11-17
TRTLRCE128F934B984,2009
TRTLRFY128F9325E0B,1996
TRTLRHK128F149965B,2013-06-26
TRTLRNU128F92E9910,1996-09-21
TRTLRPZ128F425DD54,2005-06-07
TRTLRVG128F428DCC5,1996-07-16
TRTLSCN128E0794AC7,2002-09-23
TRTLSDM128F425BE28,2014-08-19
TRTLSEQ128F4284E62,2004-04-06
TRTLSET128F9322213,1986
TRTLTWP128F92C4A55,2008
TRTLTXU128F4294D32,2003
TRTLUCE128F421A4D5,2000-09-15
TRTLUDK128F147F1EA,2020-05-29
TRTLVDO128F42659CD,2001-11-12
TRTLVFO128F931F369,2009-06-15
TRTLVGV128F4264447,1986
TRTLVHF128F9334E03,2018-06-29
TRTLXFQ128F42464FE,2007-01
TRTLXHH128F932D4EE,2010
TRTLXIS12903CBEBAC,2009-07-09
TRTLYMG128F92D0138,2007
TRTLYMN128F424BA90,2006
TRTLYQG128F423D0C7,2000-05-16
TRTMARD128F424CE86,2001-04
TRTMAUC128F1470DA2,2000
TRTMAUI128F42889A0,2006-06-27
TRTMBCG12903CAAE2A,1995
TRTMCYK128F93428A0,1973-02
TRTMCZY128F1456141,1989-12
TRTMDAU128F92EBBFE,2002
TRTMDFY128F931F810,2008
TRTMFMB128F9334F35,2011-09-21
TRTMFMP128F423A71D,1991
TRTMFNN128F92D2E1A,2011-07-11
TRTMFOR128F146EF20,1998
TRTMGIA128F423DA79,2016-02-16
TRTMGJN128F93159DC,1991
TRTMGME128F427C450,2007-03-13
TRTMHSM128F931B51B,2020-10-16
TRTMIII128F9311567,2009-03-31
TRTMIKE128F422B934,
TRTMILI128F4267237,1978-03-05
TRTMIZY128F934A02D,2009-10-30
TRTMJAV128F149EC10,2012
TRTMLFU128F147C354,2006-11-14
TRTMLGP128F4236493,2018-10-19
TRTMLJM128F92E5F53,2009
TRTMLJZ128F427D6BF,1989
TRTMLLM128F92EF177,1992
TRTMMUV128F4267D60,2012-10-15
TRTMMVF128F427CFF2,2008-06-27
TRTMNAC128F42219A4,2005-05-27
TRTMNCD128F42623C4,1998-09-08
TRTMNCL128F4279637,1986
TRTMNDY128F148B463,1979-09-30
TRTMNHZ128F42731A5,2006
TRTMNIE128F92CFF70,2009-03-26
TRTMOGU12903CB5730,2010-09-28
TRTMOHS12903CDED62,1996
TRTMOKS128F146907D,1995
TRTMONA12903CB616C,2006
TRTMOPF128F42851B5,2007-10-22
TRTMOQO12903CB3371,2010-02-19
TRTMPIS128E078186A,1992-10-05
TRTMPJF128F1491942,2012-02-20
TRTMRQY128F429360C,1998-02-05
TRTMRSC128F92FB407,1994-04-07
TRTMRVU12903CE3417,2013-08-01
TRTMRVV128F422F2F6,2009
TRTMTBE128F42722EF,1991-09-24
TRTMTBW128F427EC75,2011-10-06
TRTMTDB128F92E79CE,2000-09-12
TRTMTGQ12903CE72B2,1996-04
TRTMUCD128F146A195,2001
TRTMUEB128F9309757,2012-10-09
TRTMUGB128F147E6A3,2005-11-22
TRTMWRQ128F425EA6C,2000-11-06
TRTMWTY128F4217C9E,2004-09-18
TRTMWTY12903CCDF42,2012-03-23
TRTMWUF128F92CD409,2008-09-09
TRTMZKE128F146395A,2013-11-11
TRTMZLA128F92C4B8D,2009-05-15
TRTMZMD128F426E4B2,2004-12-14
TRTNBOM128F4263971,1991-09-10
TRTNBOW128F42AD444,2004
TRTNBRE12903CE858C,2002-05-14
TRTNCZE128F42936ED,2008-06-24
TRTNDBJ128F422F202,1997-09-16
TRTNEEE128F930C8E6,1993-08-21
TRTNEEY128F427BFFF,2014-10-08
TRTNEGA128F42B3BEE,
TRTNEHA128F92EDAC8,2005-10-18
TRTNEIZ128F9328DC9,2004-10-26
TRTNEOL12903CABB5B,2001-08-21
TRTNFFU12903CDDF5C,2011-02-21
TRTNFGD128F932EAF2,1988
TRTNFLL128E0794DBB,2019-11-15
TRTNFNU12903CC5517,1993
TRTNFRQ12903CB6360,2009-10-05
TRTNFRT128F92C253F,1996-05-04
TRTNFSN128F934DB99,1997
TRTNIEB128F932C79E,1997
TRTNIEZ128F93063E2,2008-04-02
TRTNIFF128EF34A660,2008
TRTNIGA128F92E7D87,2000
TRTNIGY128F148EF48,2006-08-21
TRTNKIL128F92E361A,1991-10-01
TRTNKLK128F4272FE4,1987
TRTNKPJ12903CD0584,2002
TRTNKSS128F93271FD,2006-09-18
TRTNLQY128E079315B,1991-10
TRTNMZN128F934B550,2005-03-08
TRTNNAW128F931F22C,2019-05-02
TRTNNFD128F428CBC0,2006-03
TRTNPIN128F4258D17,2000-05-03
TRTNPNL128F428A40B,2005
TRTNPNO12903CBD683,2002-09-24
TRTNPOF128E078D736,1997
TRTNPOZ12903CF6FAD,2007-11-26
TRTNPQD128F1499860,1995
TRTNQGD128E0785FD2,1991-02-04
TRTNQHL128F4256A23,2007
TRTNQKS128F9342A92,2001
TRTNSQP128F930DEE1,1993
TRTNSZE128F4270DB5,2004-02
TRTNTGE128F146E127,2013-09-10
TRTNTJC128F92D393D,2003
TRTNTOY12903CCE2D2,1993
TRTNUBT128F42A4C8C,2004-03-23
TRTNUCA128F1469A61,1998-02
TRTNUDK128F426240A,1997-05-22
TRTNUDO128F422F28E,2010-06-08
TRTNUEH128F92EAF73,2009-04-03
TRTNUHX128F149EF85,2001-08-14
TRTNVKC128E078FE72,2005-11-15
TRTNVMM12903CF3708,2001-08-14
TRTNVNE128F92F9427,2006-11-23
TRTNXOV128F145A374,1977
TRTNXRJ128F145EF3A,1999-06-28
TRTNXRX128F1488A9E,2006-10-16
TRTNXSB128F429B063,2005-04-12
TRTNYUS128F92F1F20,1992
TRTNYWX12903CD60DF,2004-04-27
TRTOBHG128F4238927,2004
TRTOBJG128F92D054E,2008-01-14
TRTOBKV128F92EC003,2001
TRTOCJO12903CC551C,1993
TRTOCJU12903CCCD2E,1990-10-23
TRTOCTD128F4291F8A,1991
TRTOCTG128EF35A03E,2006
TRTOCVJ128EF34B3FE,2016-06-26
TRTODCC128F92DDC4F,1987
TRTOFGY12903CDA529,2000
TRTOFHC128F4273035,2000
TRTOFHL128F4289354,2002-09-30
TRTOHJW12903CB5CB5,1999-09-21
TRTOHMO128EF3430DB,2014-06-23
TRTOHQF128F429FAC8,1999-11
TRTOJRZ128F42A65DC,2000
