id,date
TRAAAAV128F421A322,2005-11-01
TRAAABD128F429CF47,2005-10-29
TRAAAEF128F4273421,1982-10-14
TRAAAEW128F42930C0,2005
TRAAAFD128F92F423A,2007-10-23
TRAAAGF12903CEC202,1996
TRAAAHJ128F931194C,1998
TRAAAHZ128E0799171,
TRAAAJG128F9308A25,2007
TRAAAOF128F429C156,1992-07-13
TRAAARJ128F9320760,1984
TRAAAUC128F428716F,1985
TRAAAZF12903CCCF6B,2007-09-24
TRAABEV12903CC53A4,2000-10-16
TRAABHB12903CAFC2F,2005
TRAABHC128F933A3F8,2008
TRAABIG128F9356C56,2000-10-31
TRAABJS128F9325C99,2007-02
TRAABXH128F42955D6,1998-08-26
TRAACER128F4290F96,2004-07-20
TRAACFV128F935E50B,1985
TRAACJC128F934ABB5,1987-02-01
TRAACPH12903CF5F14,2001-10-20
TRAACQW128F428854F,2003
TRAAEPG128F429139A,2001-08-14
TRAAFEU128E078581C,2007-09-18
TRAAFFI128F4258B77,2004
TRAAGCG128F421CC9F,1998-03-10
TRAAGCZ128F93210FD,2004
TRAAGDX128F92C20A1,2014-12-10
TRAAGEC128E079252C,2008-07-14
TRAAGXU12903C9BE30,2008-06-10
TRAAHBS128F429F76A,2014-03-17
TRAAHBU12903CB9E27,2019-06-14
TRAAHYK128F932A08F,2005
TRAAHZP12903CA25F4,1991-10-29
TRAAHZU128F147C1C5,2005-02-09
TRAAHZY128F422315A,1993-10-03
TRAAIAE128F42AC53D,2005-10-18
TRAAIAX128F930531B,2006-06-12
TRAAIBF128F4282493,2008-03-17
TRAAIDR128F145A5C2,1987-11-03
TRAAIHL128F92E6DDA,1996
TRAAIIA128F92C2273,1999-03-03
TRAAIII128F427D5D8,2012
TRAAIKA128F426D3BB,2003-09-22
TRAAIMC128F42625C6,1999-03-09
TRAAIUJ128F42930A6,2013-12-16
TRAAJOU128E07872DF,2015-03
TRAAJRN128F92EFDDB,2007-10-08
TRAAJTE128F9321F43,2008-08-18
TRAAKJK12903CB660B,2009-10-19
TRAAKJU128F42667AC,2002-08-13
TRAAMPA128F92E7D0D,1998-09-08
TRAAMRO128F92F20D7,2000
TRAAMXN128F148AD52,2001-02-27
TRAAMYQ128F148B753,1999-04-12
TRAANBH128F9345A6C,1998-02-10
TRAANCP128F426A9B7,2008-02-01
TRAANDL128F425A4F2,1997
TRAANFL12903CC4730,2002-02-12
TRAANQG12903D00D4F,2016-11-04
TRAANRJ128F931D72D,2013-02-26
TRAANRS128F92E4F27,2014-10-31
TRAANWE128F933478D,2006
TRAANYI12903CF5C63,2003
TRAAOGR128F425E7BF,2007-10-23
TRAAOIH128F92F0679,2008-11-17
TRAAOIK128F424BFED,2014-01-01
TRAAOIN128F9303790,2005-10-29
TRAAOJI128F1458DCD,2020-03-20
TRAAORZ128F421CB5C,1982
TRAAPCC128F42519A7,2004-08-03
TRAAPFE12903CF5DF4,2002
TRAAPGF128F1458F8B,1983-09
TRAAQAL128F92EA7A7,2002-08-26
TRAAQBF12903CF796B,2007-12-18
TRAAQCK128F92E8C33,2006-12-11
TRAAQCV128F9327B59,1998
TRAAQFS128E07878C4,1997
TRAAQGK12903CD54B7,1995
TRAAQIH128F428BDEA,2007-01-30
TRAASHC128F427ED9F,2020-09-18
TRAASJJ128F933E26E,2006
TRAASQC128F93480F0,2003-04-08
TRAASTP128F4294FD9,1988
TRAASUZ128F9314950,1994
TRAASYQ128F930E0FE,2010-04-28
TRAAUIP128F4242B6D,2005-08-16
TRAAULB128F4270576,2015
TRAAUMN128F4273561,1998-05-12
TRAAUMZ128E0796151,1996-11-05
TRAAUNE128F92D81BA,1971
TRAAUQF12903CC4A4D,1994
TRAAUZX128F92F3D53,2000
TRAAVBL128F426B7CD,2001
TRAAVBM128F9315516,2013-08-27
TRAAVDV128F931F2A3,2019-05-02
TRAAVEY128F9342A2B,2000-03-06
TRAAVGB12903CFAA99,1995
TRAAVOK12903CC4773,2002-08-06
TRAAWEH128F4285CCE,2008-07-06
TRAAWGY128F4298A09,1982-11-19
TRAAWHT128F427072D,2017-10-13
TRAAWJJ128F92DE35F,2008-10-17
TRAAZBD128F427A97D,2000-11-21
TRAAZGC12903CB5DFB,2008-11-27
TRAAZHM128EF342709,2006
TRAAZHV128F428FD1D,2020-04-03
TRABBXU128F92FEF48,2005
TRABBXV12903CA7C77,2001-08-22
TRABDWS12903CE801C,2007-12-24
TRABEAE12903CDD8EE,2020-12-22
