id,date
TRGLYFL128F4289C84,2002-06-25
TRGLYHG12903CA816D,1993
TRGLYJT128F424684F,2005
TRGLYPX128F423D4D0,2008-05-26
TRGLYRS12903D01AEA,1993
TRGLYRX12903CB71CE,2011-02-12
TRGLYSI12903CAAA90,2003-06-24
TRGLYSR128F148E7E1,2009-06-01
TRGLYTH128F4288121,2012-01-01
TRGLYVP128F92CA4B4,1991-02-14
TRGMAYH128F428C00D,2001
TRGMBAU128F423AE1C,2001-01-23
TRGMBCH128F1459069,2003
TRGMBDB128F9311569,2007-09-03
TRGMBNQ128F92E746C,2020-10-02
TRGMBNR128F425E9C9,2007-03-12
TRGMBSL128F1464ED6,1992
TRGMBUT128F92DF7E7,2006
TRGMBZL128F427D522,1996-05-21
TRGMEJH128F147C1DB,2002-07-23
TRGMGOO128F92CFE87,1994-05-30
TRGMGQS128F92C3089,2005-11-14
TRGMGUK128E07826B7,2004-04
TRGMGVP12903CC4DDE,2009-07-07
TRGMGWN128F42AE715,1992
TRGMGYE12903CBA68E,2010-03-29
TRGMGYP128F42564E6,2006-09
TRGMIMG128F92E4DF1,2001-09-24
TRGMINU12903CDD3C6,2008-07-22
TRGMIOD128F422BF98,2008-05-26
TRGMITY12903CE0196,2006-04-12
TRGMIUK128F42BA3CF,2000-05-01
TRGMKLV128F146FA77,2016
TRGMKLZ128F428B9BB,2006-04-10
TRGMKPO128F42818F9,2015-06-19
TRGMKSY12903CDFC70,2000
TRGMKXN128F932BC95,2005
TRGMLPF128F1475566,2011
TRGMLZL128F92CA8CF,2008
TRGMMBD128F426728E,2004-03-09
TRGMMCD128F4244A89,2001
TRGMMJZ128F9343BBC,2004-11-02
TRGMNHJ12903CEF576,1993
TRGMNHK128F42821D7,1979-06-08
TRGMOZF128E07824EA,2013-11-25
TRGMOZH128F42962DB,2007
TRGMPLM12903CA9733,2008-05-24
TRGMPME128F9344CBF,2002-08-13
TRGMRAF128F92DE727,2009-12-30
TRGMRAT128F92DF4A6,2003-06-17
TRGMRFD128F426B3B8,2007-05-23
TRGMTDK128EF341FF7,2006-11-13
TRGMTHD128F931FC41,2003-03-31
TRGMTNW128F427F166,2013-02-01
TRGMTSY12903CAE3D8,2009-11-10
TRGMTXH128F428B70B,1999-11-12
TRGMUPH128F422B2A8,2004-06-14
TRGMUZB128F42318FA,2004
TRGMUZF128F4248182,2007-10-02
TRGMVBO128F425F0B6,2011-06-28
TRGMVWD12903CA8B08,1998
TRGMVZO128E078607E,2008-04-17
TRGMWCB128F4279AF5,2002-04-30
TRGMWEN128F92D5CCB,1996
TRGMWFN128F42A42A3,2002
TRGMWFX128F4242520,1997
TRGMXRO128F14B072D,1998
TRGMXTM128F92DE7FE,2011
TRGMXYJ128F930DC52,2005
TRGMXYT128F92D826B,2008-10-14
TRGMYFL12903CCE834,2002-10
TRGMYFX128F1451878,2005-04-25
TRGMZBV128F14566DB,2012-10-22
TRGMZBV128F426950D,1958
TRGMZER128F92FFB4E,1998
TRGMZXC128F934AD7D,1997
TRGNAAS128F93330C9,1995
TRGNABB128F930533A,2015-02-18
TRGNABH128F9330944,2004-01-19
TRGNACQ128F427FA59,2013-02-19
TRGNAGR128F145418D,1984
TRGNAIQ128F92E4EEA,2008-10-21
TRGNBAJ128F931FC3C,2003-03-31
TRGNBAQ128F148D6A7,2007-03-07
TRGNBBV12903CC656B,2004-11-16
TRGNBCC128F92F6218,2008-11-17
TRGNCGB128F93227BC,2005-03
TRGNCIE128F4249E05,2013-06-03
TRGNCJG12903D025A3,2003-09-22
TRGNCKD128F429DB3B,2010-01-26
TRGNCLP128F931CBB0,1991
TRGNCND128F147B69C,2003-05-19
TRGNEFH128F932A9F4,2006-10-27
TRGNEFX128F92FB3EA,1996-01-01
TRGNEIO128F14563CB,2000-10-02
TRGNEJW128F425EC2D,2005
TRGNHPK128F4275F34,1998
TRGNHTE128E0785D14,1998-08
TRGNKMD128F4231CBF,1996-01-16
TRGNKNM128F9343C26,2008-05-13
TRGNKPD128E078776A,1992
TRGNKRL128F4235445,2003-05-20
TRGNKVA128F4298113,2010-02-15
TRGNKWA128F930597C,2004
TRGNMTD128E078884F,2004-08-10
TRGNMTT128F428DD0F,2016-12-02
TRGNMUH128F149EC01,2003-06-01
TRGNMWM128F148ADFD,2011-04-05
TRGNMYA12903CBB5B0,2003-11-21
TRGNNAH128F4255EB4,2008-04-13
TRGNNDQ128F4249F02,2019-06-07
TRGNNKB128F145C017,2011-04-14
TRGNPGO128F42543F8,2008-01-11
TRGNPKX128F42BCEA3,2006-08-08
TRGNPQB128F4296DD1,2007-01-26
TRGNPQO128F428CCE4,2007-05-08
TRGNPRY128F92DE672,2009-06-02
TRGNPSD128F1467EE0,2008-01-18
TRGNPVP128F421AAC7,2013-05-13
TRGNQAL128F9300353,2003-09-23
TRGNQGD128F92CA769,2019-12-13
TRGNQHS128F92E4E95,1996-09-23
TRGNRZC128F146D620,2006
TRGNRZD128F424BD9A,2007-10-08
TRGNSAK128F9309C2C,1998
TRGNSBG12903CF5F69,2002-07
TRGNSCV128F9335976,2019-07-12
TRGNTMA128F42761FA,2016-10-21
